entidad,recaudo,acumulado,porcentaje
Municipio SOACHA,9720216803.0,0.7105344361004212,0.0026136832439139714
MUNICIPIO DE ARMENIA,9608491023.0,0.7131180772367344,0.0025836411363131316
Municipio SINCELEJO,9434965051.0,0.7156550587218697,0.002536981485135361
Municipio POPAYAN,9372077513.0,0.7181751302853796,0.0025200715635098603
MUNICIPIO DE NEIVA,9341958900.0,0.7206871032112023,0.002511972925822712
MUNICIPIO DE PASTO,8946785490.55,0.7230928173837838,0.002405714172581627
Municipio TULUA,8939520995.73,0.72549657819578,0.0024037608119960203
MUNICIPIO DE IBAGUE,8559098176.0,0.7277980465620741,0.0023014683662941995
MUNICIPIO DE ITAGUI,8525306662.56,0.730090428679136,0.0022923821170618406
MUNICIPIO DE TUNJA,8293800514.93,0.7323205607712049,0.0022301320920688943
MUNICIPIO DE PALMIRA,8280591461.39,0.7345471410616417,0.0022265802904367737
MUNICIPIO DE SOACHA,8153076888.0,0.7367394337728425,0.002192292711200741
Municipio TUMACO,7637372251.0,0.7387930579135933,0.0020536241407507864
MUNICIPIO DE POPAYAN,7442970797.0,0.7407944091644271,0.0020013512508338153
Municipio SOGAMOSO,7366834878.87,0.7427752881174192,0.0019808789529921693
Municipio FLORIDABLANCA,7291803638.0,0.744735991810846,0.00196070369342682
MUNICIPIO DE SINCELEJO,7288768777.0,0.7466958794560814,0.001959887645235296
MUNICIPIO DE RIOHACHA,7260563477.0,0.7486481829371469,0.001952303481065541
Municipio DOSQUEBRADAS,6971884291.97,0.7505228630519778,0.0018746801148308721
MUNICIPIO DE BARRANCABERMEJA,6900212375.440001,0.7523782712008547,0.0018554081488767955
Municipio FLORENCIA,6314723205.0,0.7540762463145135,0.001697975113658916
MUNICIPIO DE FLORIDABLANCA,6031448964.0,0.7556980514052049,0.0016218050906913585
MUNICIPIO DE TULUA,5988228673.21,0.7573082349289987,0.0016101835237937923
Municipio ENVIGADO,5968919038.8,0.7589132262570908,0.0016049913280921548
Municipio MAICAO,5915593451.0,0.7605038787902642,0.001590652533173331
Municipio PITALITO,5647430507.0,0.7620224245991146,0.0015185458088505647
Municipio GIRON,5637768279.69,0.7635383723176005,0.001515947718485827
Municipio SABANETA,5495471597.0,0.7650160576739653,0.0014776853563647878
MUNICIPIO DE TUMACO,5379426608.0,0.7664625395243346,0.0014464818503693382
Municipio TURBO,5343390313.0,0.7678993315228907,0.0014367919985560358
ALCALDIA MUNICIPAL DE  IBAGUE,5323248407.0,0.7693307075350259,0.0014313760121351937
Municipio CALDAS,5303690406.45,0.7707568245679266,0.001426117032900675
MUNICIPIO DE MAICAO,5194433803.0,0.7721535634337028,0.001396738865776246
Municipio YOPAL,5173921937.0,0.7735447868339753,0.0013912234002725278
Municipio RIONEGRO,5058134540.0,0.7749048759925402,0.0013600891585648827
MUNICIPIO DE DOS QUEBRADAS,4888896167.04,0.7762194583986738,0.0013145824061335692
MUNICIPIO DE ENVIGADO,4856081217.14,0.7775252171451668,0.001305758746492867
Municipio IPIALES,4800090979.0,0.7788159205950325,0.0012907034498657274
MUNICIPIO DE SOGAMOSO,4726579531.28,0.780086857444725,0.0012709368496925375
Municipio CHIA,4685080075.66,0.7813466354453935,0.0012597780006685046
Municipio QUIBDO,4639289268.0,0.7825941006891418,0.001247465243748382
MUNICIPIO DE CUCUTA,4614931391.46,0.7838350163080146,0.0012409156188727029
MUNICIPIO DE FLORENCIA,4452670068.0,0.785032301243451,0.0011972849354365254
MUNICIPIO DE PITALITO,4418950615.0,0.7862205193060918,0.0011882180626407617
Municipio MAGANGUE,4392774025.0,0.7874016987073476,0.0011811794012556896
Municipio CARTAGO,4278607135.0,0.7885521796073814,0.001150480900033919
Municipio URIBIA,4238102058.0,0.7896917690383057,0.0011395894309243339
MUNICIPIO DE GIRON,4227930358.35,0.7908286233861064,0.0011368543478005577
MUNICIPIO DE YOPAL,4111055073.0,0.7919340509683174,0.001105427582211062
MUNICIPIO DE QUIBDO,4037726659.0,0.7930197611665587,0.0010857101982412482
Municipio FUSAGASUGA,3991760972.0,0.7940931115843195,0.0010733504177608565
Municipio GIRARDOT,3984775608.0,0.7951645836973872,0.0010714721130677138
Municipio VILLA DEL ROSARIO,3951185246.0,0.796227023649126,0.001062439951738832
Municipio OCAÑA,3870938298.0,0.7972678858822179,0.0010408622330918464
Municipio APARTADO,3816347684.34,0.7982940691657462,0.0010261832835282846
Municipio AGUACHICA,3777148490.0,0.799309712120854,0.0010156429551078563
Municipio LETICIA,3739552989.0,0.8003152459669778,0.0010055338461237929
Municipio LORICA,3675539298.0,0.8013035670785568,0.000988321111579009
MUNICIPIO DE CHIA,3653805583.05,0.8022860441798895,0.0009824771013327268
Municipio CAJICA,3593039797.98,0.8032521818808303,0.0009661377009407809
