Horizonte,Model,Order,MAPE,RMSE,AIC
Mensual,ARIMA,"(0, 0, 0)",1.4814444159533267,41056836753.608315,2480.689657691748
Mensual,SARIMA,"(0, 1, 1) x (1, 1, 1, 12)",2.5476423804547284,65054142927.25744,1773.1020071338612
Bimestral,ARIMA,"(1, 0, 2)",1.6338409265788163,63447500827.376656,1001.9729489446636
Bimestral,SARIMA,"(0, 1, 0) x (0, 1, 0, 6)",5.429846972764614,242072555045.40866,628.634284821356
Trimestral,ARIMA,"(0, 0, 0)",0.8886482599783944,86779399033.66727,421.4409185777695
