fecha,recaudo,recaudo_lag1,recaudo_lag3,recaudo_lag6,recaudo_lag12,rolling_mean_3m,rolling_std_3m,rolling_mean_6m,rolling_std_6m,rolling_mean_12m,rolling_std_12m,mes,año,trimestre,es_periodo_renta,es_pico_fin_año
2023-09-30,98578455346.89,232228599899.69,94869976563.70999,102628353878.40001,114959884945.64,187384527034.28003,165895891738.20844,143960925030.01666,115486886151.98723,146723153387.2925,100383976869.51233,17,4046,6,2,0
2023-11-30,111479700914.23001,110624685575.82,232228599899.69,101712644901.61,116698499688.6,106894280612.31335,7966217095.959197,146521324026.1,114406136024.28967,145698493914.00336,100742038643.96841,21,4046,8,1,0
2024-01-31,141447709541.05,112942592340.68,110624685575.82,231346525856.25998,227593627898.36,121956667598.65335,17373221062.556435,134550290603.06,69753477025.64806,138286384233.12582,90915804299.0198,13,4047,5,0,2
2024-03-31,42127630502.66,106747963025.48999,112942592340.68,98578455346.89,102628353878.40001,96774434356.40001,68650916371.30925,104228380316.655,44599259724.412186,124094652673.33583,86092934115.94626,5,4048,2,0,0
2024-05-31,44038863445.46,42376102875.33,106747963025.48999,111479700914.23001,101712644901.61,42847532274.48335,1756969615.685697,81613476955.11166,53551514238.36424,114067400490.60583,91715106526.0832,9,4048,4,2,0
2024-07-31,123527728867.82,43300761555.3,42376102875.33,141447709541.05,231346525856.25998,70289117956.19336,47032398998.97068,67019841712.009995,58958161529.96268,100785066157.53499,74524922375.894,13,4048,5,0,0
2024-09-30,43048732609.75,123873750939.51001,43300761555.3,42127630502.66,98578455346.89,96816737472.36003,93353087952.36282,70027656715.52834,65939140547.34285,87128018516.09167,56729077018.436455,17,4048,6,2,0
2024-11-30,38088898335.630005,43789274528.71001,123873750939.51001,44038863445.46,111479700914.23001,41642301824.696686,4009308110.068089,69271524472.78667,66389279371.94324,75442500713.94916,57919703729.46831,21,4048,8,1,0
2025-01-31,136884106273.23999,28066422966.489998,43789274528.71001,123527728867.82,141447709541.05,67679809191.78669,68945672532.56618,68958530942.22166,77787998840.01462,67989186327.11584,65814964775.367,13,4049,5,0,2
2025-03-31,44749256475.1,147444806891.15,28066422966.489998,43048732609.75,42127630502.66,109692723213.16335,121040275575.79346,73170460911.72,86643826190.50256,71599058813.62418,73426087756.32814,5,4050,2,0,0
2025-05-31,43949878411.99,43182725203.45,147444806891.15,38088898335.630005,44038863445.46,43960620030.18002,1484601311.1568046,74046199370.23666,86185627529.839,71658861921.51166,73400378293.81406,9,4050,4,2,0
2025-07-31,135870643002.23999,44721050943.28999,43182725203.45,136884106273.23999,123527728867.82,74847190785.84001,53500490404.03963,76653060154.53667,79255824607.9025,72805795548.37917,75313869053.7247,13,4050,5,0,0
2025-09-30,52977836508.66,144239073481.59,44721050943.28999,44749256475.1,43048732609.75,111029184330.83002,101312179641.83672,77490201258.53667,73866675921.95877,75330331085.12833,76795585241.56197,17,4050,6,2,0
2025-11-30,22564886861.03,22557849018.58,113819085991.51,21280384479.43,22308690502.31,25180907789.896683,4537177477.403929,39013810050.74833,36785604575.52965,37731401280.465,38368563632.19539,10,2025,4,1,0
