fecha,recaudo,recaudo_lag1,recaudo_lag3,recaudo_lag6,recaudo_lag12,rolling_mean_3m,rolling_std_3m,rolling_mean_6m,rolling_std_6m,rolling_mean_12m,rolling_std_12m,mes,año,trimestre,es_periodo_renta,es_pico_fin_año
2022-08-31,55722184980.81,160011613708.82,50513438860.29,48525494900.9,57808119022.310005,89538332347.19667,61048180486.09001,68942022111.03333,44828656973.786804,68029497696.4175,37338146690.59656,8,2022,3,1,0
2022-09-30,59237699964.83,55722184980.81,52881198351.96,51843617502.93,45294202220.36,91657166218.15334,59222779234.14644,70174369188.01666,44363833879.93695,69191455841.79001,36779081835.59571,9,2022,3,1,0
2022-10-31,58464100516.090004,59237699964.83,160011613708.82,42680079261.39,66598805665.01,57807995153.91,1847313477.844952,72805039397.13333,42849552254.2248,68513563746.04667,36905960755.78987,10,2022,4,1,0
2022-11-30,58234399172.51,58464100516.090004,55722184980.81,50513438860.29,71702964095.01001,58645399884.47666,525647425.2765209,74091866115.83667,42156549208.81241,67391183335.83834,37004817166.403145,11,2022,4,0,0
2022-12-31,57507590981.39,58234399172.51,59237699964.83,52881198351.96,41851915398.15,58068696889.996666,499320095.0441492,74862931554.07501,41731167511.25065,68695822967.775,36291656447.72089,12,2022,4,0,1
2023-01-31,170086036916.97,57507590981.39,58464100516.090004,160011613708.82,128728457411.38,95276009023.62334,64788403804.91828,76542002088.76666,45842508143.33941,72142287926.57417,43715452274.06923,1,2023,1,0,1
2023-02-28,46461981450.26,170086036916.97,58234399172.51,55722184980.81,48525494900.9,91351869782.87334,68409086956.36456,74998634833.675,46828898613.27167,71970328472.35417,43820728625.57982,2,2023,1,0,0
2023-03-31,56166372428.14001,46461981450.26,57507590981.39,59237699964.83,51843617502.93,90904796931.79002,68744420684.56094,74486746910.89334,47051893884.4302,72330558049.455,43657699704.182045,3,2023,1,0,0
2023-04-30,48862975183.8,56166372428.14001,170086036916.97,58464100516.090004,42680079261.39,50497109687.4,5054364227.554247,72886559355.51167,47862077826.423904,72845799376.32251,43311066240.482254,4,2023,2,1,0
2023-05-31,52849669717.81,48862975183.8,46461981450.26,58234399172.51,50513438860.29,52626339109.916664,3656816955.6970143,71989104446.395,48240752617.999245,73040485281.11583,43206679925.094864,5,2023,2,1,0
2023-06-30,42020306845.9,52849669717.81,56166372428.14001,57507590981.39,52881198351.96,47910983915.83667,5477087783.08169,69407890423.81334,49566701863.559746,72135410988.94417,43777343453.82317,6,2023,2,0,0
2023-07-31,189326219010.36,42020306845.9,48862975183.8,170086036916.97,160011613708.82,94732065191.35667,82099690788.71625,72614587439.37834,57387992791.78658,74578294764.0725,49562504252.157234,7,2023,3,0,0
2023-08-31,42902380889.33,189326219010.36,52849669717.81,46461981450.26,55722184980.81,91416302248.53001,84793622188.7347,72021320679.22333,57729807220.72295,73509977756.44917,50140688552.84959,8,2023,3,1,0
2023-09-30,55676074457.56,42902380889.33,42020306845.9,56166372428.14001,59237699964.83,95968224785.75,81102269549.47372,71939604350.79332,57757078931.264275,73213175630.84334,50243288316.66274,9,2023,3,1,0
2023-10-31,54948611118.26,55676074457.56,189326219010.36,48862975183.8,58464100516.090004,51175688821.716675,7174121467.85759,72953877006.53667,57322580850.05837,72920218181.02417,50347246418.222244,10,2023,4,1,0
2023-11-30,56531089795.97,54948611118.26,42902380889.33,52849669717.81,58234399172.51,55718591790.59668,792095628.1016076,73567447019.56334,57083555174.23129,72778275732.97917,50394792225.74616,11,2023,4,0,0
2023-12-31,56411502544.71,56531089795.97,55676074457.56,42020306845.9,57507590981.39,55963734486.31335,881153713.5718735,75965979636.03166,55780369274.61389,72686935029.9225,50425970268.36181,12,2023,4,0,1
2024-01-31,85036206996.34,56411502544.71,54948611118.26,189326219010.36,170086036916.97,65992933112.340004,16492067348.98456,58584310967.02833,13973107751.034163,65599449203.20333,40489834030.658005,1,2024,1,0,1
2024-02-29,21711756029.15,85036206996.34,56531089795.97,42902380889.33,46461981450.26,54386488523.4,31710755807.988693,55052540156.99833,20075162004.16631,63536930418.11083,42149660187.793526,2,2024,1,0,0
2024-03-31,20415874473.51,21711756029.15,56411502544.71,55676074457.56,56166372428.14001,42387945833.00001,36940160563.32056,49175840159.65667,24524097720.245876,60557722255.225,43943273928.152725,3,2024,1,0,0
2024-04-30,21960228401.82,20415874473.51,85036206996.34,54948611118.26,48862975183.8,21362619634.826675,829264391.1040298,43677776373.583336,26582510232.855232,58315826690.06,45260670095.83997,4,2024,2,1,0
2024-05-31,22078635043.64,21960228401.82,21711756029.15,56531089795.97,52849669717.81,21484912639.656677,927705224.5816672,37935700581.528336,26969004005.50901,55751573800.54583,46454436430.24323,5,2024,2,1,0
2024-06-30,21222126511.66,22078635043.64,20415874473.51,56411502544.71,42020306845.9,21753663319.040012,464115897.60235095,32070804576.02,25954738119.73263,54018392106.025826,47391837921.186554,6,2024,2,0,0
2024-07-31,102305602356.16,21222126511.66,21960228401.82,85036206996.34,189326219010.36,48535454637.15334,46568283101.36833,34949037135.99,33003423410.23004,46766674051.50916,27133084454.707443,7,2024,3,0,0
2024-08-31,21568148583.35,102305602356.16,22078635043.64,21711756029.15,42902380889.33,48365292483.72335,46713999022.449265,34925102561.69,33014993303.492245,44988821359.34417,28091329613.625523,8,2024,3,1,0
2024-09-30,21480584026.4,21568148583.35,21222126511.66,20415874473.51,55676074457.56,48451444988.63668,46639088929.91355,35102554153.83833,32924147243.850605,42139197156.747505,28637747404.810932,9,2024,3,1,0
2024-10-31,22308690502.31,21480584026.4,102305602356.16,21960228401.82,54948611118.26,21785807704.020008,454941428.61408883,35160631170.58666,32896623966.590446,39419203772.085,28859713790.27474,10,2024,4,1,0
2024-11-30,15780207833.32,22308690502.31,21568148583.35,22078635043.64,56531089795.97,19856494120.676678,3554366681.454,34110893302.2,33492655405.35279,36023296941.86417,29059989939.193573,11,2024,4,0,0
2024-12-31,12286215133.17,15780207833.32,21480584026.4,21222126511.66,56411502544.71,16791704489.600012,5087223923.271318,32621574739.118332,34367652464.53504,32346189657.569168,29037326882.43701,12,2024,4,0,1
2025-01-31,124597891140.06999,12286215133.17,22308690502.31,102305602356.16,85036206996.34,50888104702.186676,63858448609.29485,36336956203.10333,43420346375.47957,35642996669.54667,36777637892.929985,1,2025,1,0,1
2025-02-28,22846915751.079998,124597891140.06999,15780207833.32,21568148583.35,21711756029.15,53243674008.10667,62019757547.67031,36550084064.39166,43336412792.96085,35737593313.04083,36739988095.225044,2,2025,1,0,0
2025-03-31,21902340724.02,22846915751.079998,12286215133.17,21480584026.4,20415874473.51,56449049205.05668,59020518028.12315,36620376847.32833,43307413397.54172,35861465500.583336,36686099661.103096,3,2025,1,0,0
2025-04-30,21280384479.43,21902340724.02,124597891140.06999,22308690502.31,21960228401.82,22009880318.176678,788783005.3306714,36448992510.18166,43377355936.45782,35804811840.38416,36710035792.819664,4,2025,2,1,0
2025-05-31,22669493932.559998,21280384479.43,22846915751.079998,15780207833.32,22078635043.64,21950739712.00334,695818305.8261333,37597206860.055,42808271593.38119,35854050081.127495,36690342500.994385,5,2025,2,1,0
2025-06-30,22051557010.73,22669493932.559998,21902340724.02,12286215133.17,21222126511.66,22000478474.24001,695961946.417951,39224763839.64834,41827904228.56941,35923169289.38334,36661041818.355415,6,2025,2,0,0
2025-07-31,113819085991.51,22051557010.73,21280384479.43,124597891140.06999,102305602356.16,52846712311.600006,52804528457.62167,37428296314.88833,37427920379.33309,36882626258.99583,38652827235.36929,7,2025,3,0,0
2025-08-31,30419987490.079998,113819085991.51,22669493932.559998,22846915751.079998,21568148583.35,55430210164.10668,50739070472.988304,38690474938.055,36962649482.37637,37620279501.223335,38417745038.021614,8,2025,3,1,0
2025-09-30,22557849018.58,30419987490.079998,22051557010.73,21902340724.02,21480584026.4,55598974166.723335,50573109168.84841,38799726320.48167,36904026439.5824,37710051583.905,38377840203.54035,9,2025,3,1,0
2025-10-31,22564886861.03,22557849018.58,113819085991.51,21280384479.43,22308690502.31,25180907789.896683,4537177477.403929,39013810050.74833,36785604575.52965,37731401280.465,38368563632.19539,10,2025,4,1,0
